VendorNumber,VendorName,VendorAddress1,VendorAddress2,VendorCity,VendorZip,VendorState,VendorCountry,VendorContactPhone,VendorContactFax,VendorContact,VendorContactEmail,VendCommCode,VendMinority,VendDesignated,VendIndustry,VendorKey,ShipToLocation,Currency
"10409","CAPSONIC AUTOMOTIVE INC.","1595 HIGH POINT DR","","ELGIN","60123","IL","","","","","","OO","N"," ","",474,"EPDC","DLL"
"10413","BUCKEYE BOBBIN & MFG. CO.;","1033 S. NOEL AVE.","","WHEELING","60090","IL","USA","847-279-1283","","GEORGE NEDERLTOFER","","PP"," "," ","AUTO",478,"EPDC","DLL"
"10419","VISHAY AMERICAS INC.;","1122 23RD. ST.","","COLUMBUS","68601","MEBRASKA","USA","402-563-6219","203-445-5523","KIM JENKINSON","LIZ.GAMBOA@VISHAY.COM","EE","N","N","AESF",484,"EPDC","DLL"
"10422","REA MAGNET WIRE CO.; INC.","P.O. BOX 71843","","CHICAGO","60694","IL","","260-450-3271","219-421-7357","JOHN WEHRLE","JWEHRLE@REAWIRE.COM","  "," "," ","",487,"EPDC","DLL"
"10425","TRAVEL EXPRESS AVIATION","3N060 POWIS ROAD","","WEST CHICAGO","60185","IL","USA","630-584-6462","630-584-8710","","","  "," "," ","",490,"EPDC","DLL"
"10428","CGR TECHNOLOGIES","350 W. COLFAX","","PALATINE","60067","IL","USA","847-934-7622","847-934-7629","JOE MUNCER","","FF"," "," ","AUTO",493,"EPDC","DLL"
"10430","D.A. INC.","101 QUALITY COURT","","CHARLESTOWN","47111","IN","USA","812-256-3351","","SAYLA GERTH (132)","","HH"," "," ","AUTO",495,"EPDC","DLL"
"10438","POLYMER MOLDING INC.;","1655 WEST 20TH. ST.","","ERIE","16502","PA","","814-455-8085","814-453-4381","M. DOTTORE","MDOTTORE@POLYMERMOLDING.COM","PP"," "," ","AUTO",503,"EPDC","DLL"
"10444","MID-ATLANTIC RUBBER CO.;","2900 WHITTINGTON AVE.;","","BALTIMORE","21230","MD","USA","1-800-536-1620","1-410-644-4837","JIM COLEMAN","","RR"," "," ","AUTO",509,"EPDC","DLL"
"10449","SHEPHERD CONTROLS & ASSOCIATES","203 SOUTH JUPITER ROAD","SUITE A","ALLEN","75002","TX","USA","972-727-7300","972-727-7363","","","  "," "," ","",514,"EPDC","DLL"
"10452","ELGIN DIE MOLD CO.","14N002 PRAIRIE STREET","","PINGREE GROVE","60140","IL","U.S.A.","847-464-0140","847-464-0147","SHEILA KLARAS","CUSTOMER.SERVICE@ELGINDIEMOLD.COM","DD"," "," ","AUTO",517,"EPDC","DLL"
"10456","JACO ELECTRONICS","P.O. BOX 18055","","HAUPPAUGE","11788","NY","USA","631-273-5500","","","","WW"," "," ","AUTO",521,"EPDC","DLL"
"10457","EL PASO TOOL & DIE CO. INC.","10859 PELLICANO DR.","","EL PASO","79935","TX","USA","915-591-0346","915-591-0390","JAVIER BERUMEN","JAVIER@STAMPCOAT.COM","MM","Y","N","AUTO",522,"EPDC","DLL"
"10459","GREEN BAY PACKAGING","10515 RAILROAD","","EL PASO","79922","TX","USA","915-822-9700","915-922-9701","HILDA KERR","","  "," "," ","",524,"EPDC","DLL"
"10462","TEXAS AIRCRAFT SUPPLY","6310 WEBB LYNN RD.;","","GRAND PRAIRIE","75052-8708","TX","USA","817-467-6081","817-472-7137","DAVID","","HH"," "," ","AUTO",527,"EPDC","DLL"
"10463","THERM-O-DISC INC.","1320 S. MAIN ST.","","MANSFIELD","44907","OH","USA","419-525-8500","419-525-8572","SAMANTHA STONER  249","","PP","N","N","AUTO",528,"EPDC","DLL"
"10470","BRAININ ADVANCE INDUSTRIES INC","48 FRANK MOSSBERG DR.;","","ATTLEBORO;","02703-4624","MA","USA","508-226-1200","508-226-8703","POLLY NAPOLITANO","PNAPOLITANO@BRAININ.COM","MM"," "," ","AUTO",535,"EPDC","DLL"
"10475","ACUMENT CANADA LIMITED","87 DISCO RD.;","","REXDALE","M9W 1M3","ONTARIO","CANADA","416-675-5530","613-382-5807","CAM","","HH"," "," ","AUTO",540,"EPDC","DLL"
"10476","RAND IMAGINIT TECHNOLOGIES INC","8001 SWEET VALLEY DR.;","","VALLEY VIEW","44125","OH","USA","905-625-2000","905-625-2458","","","  "," "," ","",541,"EPDC","DLL"
"10478","TOTAL ELECTRONICS","1 TECHNOLOGY WAY","","LOGANSPORT","46947","IN","USA","574-739-2929","574-725-3317","BETH MARTIN","","EE"," "," ","AUTO",543,"EPDC","DLL"
"10479","GLOBAL FABTECH; INC.;","6730 DENNY PEAK DR. SE","","SNOQUALMIE","98065","WA","USA","425-837-9884","425-837-9886","THOMAS TAN/SCOTT HEI","","PP"," "," ","AUTO",544,"EPDC","DLL"
"10485","MOUSER ELECTRONICS","1000 N MAIN ST","","MANSFIELD","76063","TX","USA","800-346-6873","","","","  "," "," ","",550,"EPDC","DLL"
"10486","CIRCUITRONICS LLC","201 N. GABLES BLVD.","","WHEATON","60187","ILLINOIS","USA","630-668-5407","630-462-7590","MANNY SHARMA","","CC"," "," ","AUTO",551,"EPDC","DLL"
"10488","PLASTIC MOLDING TECHNOLOGY INC","12280 ROJAS DR. UNIT A","","EL PASO","79936","TX","USA","915-593-6922","915-593-6923","HENRY RAMOS X17","HRAMOS@PMTINC.COM","PP","N","N","AUTO",553,"EPDC","DLL"
"10491","TAYLOR SPRING MFG. CO.","5700 WEST 120TH ST","","ALSIP","60803","IL","USA","708-422-3704","708-422-3877","STEVEN TYRAKOWSKI","","SS","N","J","AUTO",556,"EPDC","DLL"
"10492","G.S.S. GLOBAL SUPPLY & SERVICE","480 S AMERICAS AVE","A-9","EL PASO","79907","TX","USA","915-633-1726","915-633-1739","GABRIEL IBARRA","","CC","Y"," ","",557,"EPDC","DLL"
"10493","STEWARD INC.;","1200 E. 36TH ST.;","","CHATTANOOGA","37407","TN","USA","423-867-4100","423-867-4102","SID SWIFT","","  "," "," ","",558,"EPDC","DLL"
"10498","WM PLASTICS INC.;","5151 BOLGER COURT","","MCHENRY","60050-7015","IL","USA","815-578-8888","815-578-8818","RICK ST JOSEPH","","PP"," "," ","AUTO",563,"EPDC","DLL"
"10499","M. HOLLAND COMPANY","400 SKOKIE BLVD.;","STE. 600","NORTHBROOK","60062","IL","USA","847-272-7370","847-272-0525","MARTHA EBELHACK","","  "," "," ","",564,"EPDC","DLL"
"10500","PIOLAX CORPORATION","139 ETOWAH INDUSTRIAL COURT","","CANTON","30114","GA","USA","770-479-2227","770-479-2399","NICOLE SOUTHERLAND","","MM","N","N","AUTO",565,"EPDC","DLL"
"10502","LEAR CORPORATION (SUPV00C93)","2200 LINDEN AVE.","P.O. BOX 2250","ZANESVILLE","43701","OH","USA","740-450-1051","248-447-5287","CHRYSTAL FLOWERS","","MM"," "," ","",567,"EPDC","DLL"
"10503","SUPER-TEMP WIRE & CABLE","133 EIM ST.;","","WINOOSKI","05404","VT","USA","802-655-4211","802-655-2613","PETER KENNY","PKENNY@SUPER-TEMP.COM","WW"," "," ","AUTO",568,"EPDC","DLL"
"10504","LEONI CABLE; INC.","AV. RIO CONCHOS # 9700","PARQUE IND. CUAUHTEMOC","CUAUHTEMOC","31530","CHIH","MEXICO","625-590-2000","248-650-3365","CARLOS/LILIANA","CARLOS.GUTIERREZ@LEONI.COM","WW"," "," ","AUTO",569,"EPDC","DLL"
"10505","KEM-TRON; INC.","7370 BROADMOOR SE","","CALEDONIA","49316","MI","USA","616-554-8860","616-554-8861","ED FEDERICK","","EE"," "," ","AUTO",570,"EPDC","DLL"
"10506","MAYFAIR PLASTICS INC.;","845 DICKERSON RD.;","","GAYLORD","49734","MI","USA","989-732-2441","989-732-7031","KATHY 11","","PP"," "," ","AUTO",571,"EPDC","DLL"
"10507","NYE LUBRICANTS INC.;","12 HOWLAND RD.;","","FAIRHAVEN","02719","MA","USA","508-996-6721","508-997-5285","JANICE MEDEIROS","","CC"," "," ","AUTO",572,"EPDC","DLL"
"10508","RAM MACHINING LLC","P.O. BOX 24685","","ROCHESTER","14624","NY","USA","(585)-426-1007","(585)426-1000","GARY SCALONE","","MM"," "," ","AUTO",573,"EPDC","DLL"
"10510","FISHER GAUGE","P.O. BOX 575","","WATERTOWN","13601","NY","","705-748-9566","","BARB NELSON    1311","","  "," "," ","",575,"EPDC","DLL"
"10511","DIVERSITY PRODUCTS","32031 HOWARD ST.;","","MADISONHGTS","48071","MI","USA","248-585-1200","248-585-1212","TOM BARSZCZOWSKI","","  "," "," ","",576,"EPDC","DLL"
"10513","STRANCO PRODUCTS","250 GIBRALTAR DR","","BOLINGBROOK","60440","IL","USA","630-685-8484","630-771-1526","","PMULAY@STRANCOPRODUCTS.COM","TT","Y"," ","AUTO",578,"EPDC","DLL"
"10517","CAMCAR LLC","345 E. MARSHALL ST.;","","WYTHEVILLE","24382","VA","USA","276-228-1406","815-972-3297","","","HH"," "," ","AUTO",582,"EPDC","DLL"
"10522","WM PLASTICS; INC.","5151 BOLGER COURT","","MCHENRY","60050-7015","IL","USA","815-578-8888","815-578-8818","","","  "," "," ","",587,"EPDC","DLL"
"10525","KYODO YUSHI USA","1000 TOWER LANE SUITE 370","","BENSENVILLE","60106","IL","USA","630-595-2020","630-595-3434","KEIKO COLE","","CC"," "," ","AUTO",590,"EPDC","DLL"
"10526","TINGSTOL COMPANY","1600 BUSSE RD.;","ELKGROVE","VILLAGE","60007-5532","ILL","USA","847-427-8008","401-243-3096","","","MM"," "," ","AUTO",591,"EPDC","DLL"
"10533","ODYSSEY TOOL L.L.C.","22373 STARKS DR.;","","CLINTON TWP.","48036","MI","USA","586-468-6696","586-468-8422","","","  "," "," ","",598,"EPDC","DLL"
"10534","JKL COMPONENTS CORP.","13343 PAXTON ST.;","","PACOIMA","91331","CA","USA","800-421-7244","","JOSE CRUZ 135","JCRUZ@JKLLAMPS.COM","EE"," "," ","AUTO",599,"EPDC","DLL"
"10535","MULTICELL PACKAGING INC.;","191 VICTOR ST.","","LAWRENCEVILLE","30045","GA","USA","770-682-1980","770-682-2006","BRIAN ROGERS","","PP"," "," ","AUTO",600,"EPDC","DLL"
"10537","SAUREISEN","160 GAMMA DR.","","PITTSBURGH","15238-2989","PA","USA","412-963-0303","412-963-0303","LUIS GRANES","","CC","N","N","AUTO",602,"EPDC","DLL"
"10545","SABIC INNOVATIVE PLASTICS US","ONE PLASTICS AVE.","","PITTSFIELD","01201","MA","","1-800-752-7842","413-236-2860","FORMERLY GE PLASTICS","CUSTOMERSERVICE@SABIC-IP.COM","CC"," "," ","AUTO",603,"EPDC","DLL"
"10547","AMERICAN / JEBCO CORPORATION","11330 W. MELROSE","","FRANKLIN PARK","60131","IL","USA","847-455-3150","847-455-0208","JEFF CUB","","HH","Y"," ","AUTO",605,"EPDC","DLL"
"10555","PLASTIC ENGINEERED COMPS. INC.","DEPT 3080","135 S. LASALLE","CHICAGO","60674","IL","","915-594-7300","","GREGORY","","  "," "," ","",608,"EPDC","DLL"
"10562","DYNACAST ; INC.","195 CORPORATE DRIVE","","ELGIN","60123","IL","USA","847-608-2200","(514)694-5725","DIONNE WALKER","DWALKER@DYNACAST.COM","DD"," "," ","AUTO",609,"EPDC","DLL"
"10572","AVNET","#3 BUTTERFIELD TRAIL","SUITE 110","EL PASO","77906","TX","","480-643-200","480.643.5649","LOUIS DAVALOS","EXPRESS-WEST@AVNET.COM","DD"," "," ","AESF",613,"EPDC","DLL"
"10574","HARISON TOSHIBA LIGHTING","24922 ANZA DR. UNIT F","","VALENCIA","91355","CA","USA","2487379822","661-257-6490","VAL THORNE","","EE"," "," ","AUTO",615,"EPDC","DLL"
"10575","AMERICAN COIL SPRING CC","1041 EAST KEATING AVE","","MUSKEGON","49442","MI","US","231-726-4021","231-726-2206","DIANE BECK 211","","SS"," "," ","AUTO",616,"EPDC","DLL"
"10576","AMERICAN / JEBCO CORP.","11330 WEST MELROSE AVE","","FRANKLIN","60131","IL","USA","847-455-3150","847-455-0208","MICHELLE SAULSBERRY","","HH","N","N","AUTO",617,"EPDC","DLL"
"10610","HOPPER DEVELOPMENT","P.O. BOX 296","1332 - 18TH STREET","LOGANSPORT","46947","IN","","574-753-6621","","","","PP"," "," ","AUTO",620,"EPDC","DLL"
"10622","NATIONAL MOLDING LLC","14427 NW 60TH AVENUE","","MIAMI LAKE","33014","FLORIDA","USA","305-364-7708","305-818-7861","ODAYNA","JERVERR@SECURITYPLASTICS.COM FAX (305)364-7761","PP","N","N","AUTO",621,"EPDC","DLL"
"10635","DELPHI ENERGY & ENGINE MGMT.","P.O. BOX 436040","","PONTIAC","48343-6040","MI","","810-2576301","248-874-3070","DENNIS MORGAN","","  "," "," ","",622,"EPDC","DLL"
"10647","KRAYDEN INC.;","491 E. 124TH.","","DENVER","80241","CO","","1-800-448-0406","","ALEJANDRA PACHECO","APACHECO@KRAYDEN.COM","00","O"," ","",623,"EPDC","DLL"
"10650","SMALL PARTS; INC. - LOGANSPORT","600 HUMPHREY ST.","","LOGANSPORT","46947","IN","","574-739-6246","","BECKY JAMES FAX:0910","ANNELP@SMALLPARTSINC.COM","MM"," "," ","AUTO",624,"EPDC","DLL"
"10655","IDI FABRICATION INC.","P.O. BOX 357","407 S. SEVENTH STREET","NOBLESVILLE","46060","IN","USA","317-77-66577","","GAVIN KORN","","PP","N","N","AUTO",625,"EPDC","DLL"
"10666","FRAMATOME CONNECTORS; INT.","6060 HIX ROAD","","WESTLAND","48185","MI","USA","(800) 303-3576","(313) 722-2812","LAURA BROHUS","","DD"," "," ","",627,"EPDC","DLL"
"10671","THE IRONMONGER SPRING DIVISION","WALTON INDUSTRIAL PARK","P.O. BOX 318","WALTON","46994","IN","U.S.A.","219-753-3306","(219)626-2452","KELLY/ JOELLEN","","  "," "," ","",628,"EPDC","DLL"
"10676","PLASTIC SYSTEMS","15055 32 MILE ROAD","","ROMEO","48065","MI","USA","586-336-9696","586-336-9393","MIKE KELLEY","MKELLEY@PLASTIC-SYSTEMS.NET","PP","N","N","AUTO",2332,"EPDC","DLL"
"10678","PRECISION DRAWN METALS INC.","1345 PLAINFIELD AVE","","JANESVILLE","53545","WI","USA","608-755-1495","608-755-0761","JULIE SNYDER","JULIE.SNYDER@DRAWNMETALS.COM","MM","N","N","AUTO",2732,"EPDC","DLL"
"10718","STONE CONTAINER","P.O. BOX 910386","","DALLAS","75391-0386","TX","USA","915-774-4405","915-771-9215","LISA WELLS","","  "," "," ","",632,"EPDC","DLL"
"10736","NORSTAN","10333 82ND. AVE. PLEASANT","","PRAIRIE","53158","WI","USA","262-947-0707","847-662-8789","CAREY/TINA","CAREY@NORSTANDINC.COM;    TINA@NORSTANDINC.COM","HH"," "," ","AUTO",633,"EPDC","DLL"
"10745","STARRO PRECISION PRODUCTS","1225 BOWES RD.","","ELGIN","60123","IL","U.S.A.","847-741-3382","847-741-0791","DIANNE","","MM"," "," ","AUTO",634,"EPDC","DLL"
"10799","LOGAN STAMPINGS INC.","1100 E. MAIN STREET","P.O. BOX 298","LOGANSPORT","46947","IN","USA","574 722-3101","219-722-5543","MARISA BRUGH","M.BRUGH@LOGANSTAMPING.COM   PHPNE EX 16","MM","Y","N","AUTO",637,"EPDC","DLL"
"10816","MADISON KIPP CORPORATION","DEPT 3915","P.O. BOX 2088","MILWAUKEE","53201","WI","U.S.A.","608-242-5272","","SHARRON","","  "," "," ","",639,"EPDC","DLL"
"10831","MASTER PRODUCTS CO.","6400 PARK AVENUE","P.O. BOX 94753","CLEVELAND","44105","OH","USA","216-341-1740","","W","","  "," "," ","",640,"EPDC","DLL"
"10835","LABELLE INDUSTRIAL SALES","460 EAGLE DR.;","","EL PASO","79912","TX","","915-584-5729","","ENRIQUE MIRAMONTES","","DD"," "," ","",641,"EPDC","DLL"
"10882","MYERS SPRING CO.","P.O. BOX 450","500 HUMPHREY STREET","LOGANSPORT","46947","IN","","574-722-0447","574-722-5902","STEVE MUEHLHAUSEN","STEVE@MYERSSPRING.COM","SS"," "," ","AUTO",644,"EPDC","DLL"
"10883","NEW ENGLAND ELECTRIC WIRE CORP","130 NORTH MAIN ST.","","LISBON","03585","NH","USA","603-838-6624","603-838-2805","CHRIS TRUDELL","CHRIS.TRUDELL.NEEWC.COM","WW","N","J","AUTO",645,"EPDC","DLL"
"10892","NATIONAL RIVET & MFG. CO.","P.O. BOX 471","21 EAST JEFFERSON ST.","WAUPUN","53963","WI","","414-324-5511","","DO NOT USE","","  "," "," ","",646,"EPDC","DLL"
"10900","NEWARK ELECTRONICS","33190 COLLECTION CENTER","","CHICAGO","60693-0331","IL","","915-772-6367","","","","DD","N"," ","AUTO",647,"EPDC","DLL"
"10903","SPEEDLINE / MPM CORP.","DEP. CH 10497","","PALATINE","60055-0497","IL","","508-520-6999","","","","  "," "," ","",649,"EPDC","DLL"
"10933","UFE INCORPORATED","117 MAIN STREET","P.O. BOX 608","DRESSER","54009","WI","","915*629-4725","651-351-4504","TERRY QUINTANA","TERRY.QUINTANA@UFEINC.COM","PP"," "," ","AUTO",651,"EPDC","DLL"
"10943","LEAR ESD ELECTRICAL SYSTEM DIV","1440 DON HASKINS","","EL PASO","79936","TX","USA","915-787-4113","","","","  "," "," ","",653,"EPDC","DLL"
"10944","LEAR","1110 WOODMERE AVE","PLANT 134","TRAVERSE CITY","49686","MI","USA","231-995-7209","","PEGGY DUELL","PDUELL@LEAR.COM","MM","N","J","AUTO",654,"EPDC","DLL"
"10945","LEAR CORPORATION","26575 NORTHLINE","","TAYLOR","48180","MI","US","734-946-1615","","TERESA ATHERTON","","  "," "," ","",655,"EPDC","DLL"
"10952","UNIVERSAL BEARINGS; INC.","431 N. BIRKEY DRIVE","","BREMEN;","46506","INDIANA","U.S.A.","574-546-2261","574-546-5085","TINA WALENGA 202","MLAWMASTER@UNIVBRG.COM","MM"," "," ","AUTO",656,"EPDC","DLL"
"10965","VICKERY TAPE & LABEL CO.","20 W CANAL","","PERU","46970","IN","U.S.A.","FAX: 7354","765-472-7354","TINA 765-472-1974","TINA@VICKERYTAPE.COM","TT"," "," ","AUTO",659,"EPDC","DLL"
"11001","BUCKEYE CONTAINER CO.;","3350 LONG RD.;","","WOOSTER","44691","OH","USA","330-287-6431","","JEAN HASTINGS","","PP"," "," ","AUTO",661,"EPDC","DLL"
"11003","WESTERN RUBBER; INC.;","135 S. LASALLE ST.","DEPT. 1568","CHICAGO","60674-1568","IL","U.S.A.","219-534-0259","219-534-1049","JOYCE","","RR"," "," ","AUTO",662,"EPDC","DLL"
"11239","DERINGER MFG. COMPANY","1250 TOWN LINE ROAD","","MUNDELEIN","60060","IL","","520-629-3322","847-566-5370","LIZ PEELER","LPEELER@DERINGERNEY.COM","DD"," "," ","AUTO",665,"EPDC","DLL"
"11240","STEPHENSON","3831 PATTERSON AVE.","","GRAND RAPIDS","49512","MI","","1-800-968-5535","616-949-5171","ROBIN ANDREWS","","  "," "," ","",666,"EPDC","DLL"
"11248","FED.MOGUL-LOGANSPORT","516 HIGH STREET","","LOGANSPORT","46947","IN","","219-722-6141","","JEANENE SUMMERS","","MM"," "," ","",667,"EPDC","DLL"
"11249","FEDERAL-MOGUL CORPORATION","26555 NORTHWESTERN HIGHWAY","","SOUTHFIELD","48034","MI","USA","847-568-2556","(847) 568-1901","CHERYL WILCOX","CHERYL.WILCOX@FEDERALMOGUL.COM","MM","N","N","AUTO",668,"EPDC","DLL"
"11250","FED.MOGUL-LEITERSFORD","7346 W 400 N","P.O. BOX 431","LEITERS FORD","46945","IN","","219-542-2014","","","","  "," "," ","",669,"EPDC","DLL"
"11252","ESSEX GROUP INC","P.O. BOX 71010","","CHICAGO","60694","IL","USA","915-772-6041","260-461-5299","ANDY GARCIA","ANDY_GARCIA@SUPERIORESSEX.COM","WW","N","N","AUTO",671,"EPDC","DLL"
"11271","POWER & SIGNAL GROUP","4670 RICHMOND RD.","SUITE 120","CLEVELAND","44128-5918","OH","USA","800-722-5273","216-378-6158","JANETT CHAMPION","JCHAMPION@POWERSIGNAL.COM","  ","N","N","AUTO",675,"EPDC","DLL"
"11292","THOMAS & BETTS","22800 HALL ROAD","","CLINTON TWP","48036","MI","U.S.A.","810-493-1221","810-493-1356","KATHY/SHERRY","","  "," "," ","",677,"EPDC","DLL"
"11293","BT AUTO TRANSPORT","P.O. BOX 2076","","WEATHERFORD","73096","OK","USA","580-772-0249","","BRAI","","  "," "," ","",678,"EPDC","DLL"
"11307","AUTOMATIC SPRING PROD.","P.O. BOX 79001","","DETROIT","48279","MI","USA","616-842-7800","","JOYCE","","  "," "," ","",683,"EPDC","DLL"
"11308","FISHER GUAGE LIMITED","P.O. BOX 575","WATERTOWN SDENES@FISHERGAUGE.C","NEW YORK","13601","NY","","(705) 748 9566","705-748-9211","BARB NELSON 1311","","  "," "," ","",684,"EPDC","DLL"
"11314","WTM CO.; INC.","135 S. MAIN STREET","P.O. BOX 226","THOMASTON","06787","CT","","203-283-5871","","","","PP"," "," ","AUTO",687,"EPDC","DLL"
"11331","LAKESIDE SPRING PRODUCTS","17127 HICKORY ST.","","SPRING LAKE","49456","MI","USA","(616)847-2706","(616)842-2745","SAMUEL LOWRY","","SS","N","N","AUTO",704,"EPDC","DLL"
"11333","ABBOTT INTERFAST CORP.","190 ABBOTT DR","","WHEELING","60090","IL","CREDIT MGR.","847-459-6200","","BOB BUDACKI","","  "," "," ","",706,"EPDC","DLL"
"11335","H & H TUBE","108 GARFIELD AVE.;","","VANDERBILT","49795","MI","USA","989-983-2800","989-983-2710","CINDY FORMAN","","TT"," "," ","AUTO",708,"EPDC","DLL"
"11339","RESORTES NEWCOMB","11333 ROJAS DRIVE","","EL PASO","79936","TX","USA","915-584-6662","915-877-2669","GEORGE SERNA","GSERNA@NEWCOMBSPRING.COM            CELL #449-1617","SS","N","N","AUTO",712,"EPDC","DLL"
"11340","ELECTRICAL CONTACTS LIMITED","519 22ND. AVE","","HANOVER","N4N 3T6","ONTARIO","","519-364-1878","519-364-4626","PENNY KOCHER 237","","EE"," "," ","AUTO",713,"EPDC","DLL"
"11341","ASSOCIATED CERAMICS & TECHNOLO","400 NORTH PIKE RD.;","","SARVER","16055","PA","USA","724-353-1585","724-353-1585","PATTI-ANN L KANTERMA","","SS"," "," ","AUTO",714,"EPDC","DLL"
"11343","ABBOTT BALL COMPANY","19 RAILROAD PLACE","","WEST HARTFORD","6110","CT","USA","860-236-5901","860-233-1069","MARYANN RUUBEL","MRUUBEL@ABBOTTBALL.COM","MM","N","N","AUTO",716,"EPDC","DLL"
"11344","FAWN PLASTICS COMPANY INC.","1920 GREENSPRING DR.;","SUITE 140","TIMONIUM","21093","MD","MD","252-235-6466","","SABRINA PATE","","PP"," "," ","AUTO",717,"EPDC","DLL"
"11346","CLARION TECHNOLOGIES INC.;","5041 68TH. ST. SE","","CALEDONIA","49316","MI","USA","616-698-6630","616-754-3829","DANA J.MACKLIN","","PP"," "," ","AUTO",719,"EPDC","DLL"
"11348","AMI DODUCO INC.","1003 CORPORATE LANE","","EXPORT","15632","PA","USA","724-733-8332","724-733-2880","KIM CECERE 307","","MM"," "," ","AUTO",721,"EPDC","DLL"
"11349","SIGNATURE ALUMINUM","93 WERNER RD.;","","GREENVILLE","16125","PA","USA","724-589-5888","724-588-1621","","","MM"," "," ","AUTO",722,"EPDC","DLL"
"11350","PARAMOUNT STAMPING & WELDING","1200 W. 58 ST.","","CLEVELAND","44102","OH","USA","216-631-1755","216-631-2713","KATHY LINDSAY X128","","MM"," "," ","AUTO",723,"EPDC","DLL"
"11351","PRESTOLITE WIRE LLC","1204 W. INDUSTRIAL PARK DR.;","","NOGALES","85621","AZ","...","520-377-2640","248-386-4462","MARIE SLAVINSKI","","WW"," "," ","AUTO",724,"EPDC","DLL"
"11352","S/G ELECTRONICS; INC.","9113 MACON RD.;","","CORDOVA","38018","TN","USA","901-624-7030 X 115","901-624-7040","MARTHA GRAY","MARTHA.GRAY@SGELECTRONIC.COM FAX 901-624-7040","PP"," "," ","AUTO",725,"EPDC","DLL"
"11353","HEATRON INC.;","8135 NATHAN CIRCLE","","ERIE","16509","PA","USA","814-868-8554","814-866-1831","DENISE BROADHEAD2236","DENISEB@HEATRON.COM","MM"," "," ","AERO",726,"EPDC","DLL"
"11354","MULTIPLASTICS OF NEW MEXICO","2100 S. VALLEY DR.;","","LAS CRUCES","88005","NM","USA","575-526-5531","505-526-5746","ANDY HEIM","ANDY.HEIM@CORE-MFG.COM","PP"," "," ","AUTO",727,"EPDC","DLL"
"11355","THE HOSHO CORPORATION","YUSHI KOGYO KAIKAN 5F 3-13-11","NIHONBASHI CHUOH-KU","TOKYO","103-0027","JAPAN","JAPAN","81-3-3274-2434","81-3-3274-2207","","","  "," "," ","",728,"EPDC","DLL"
"11356","MICRO STAMPING CORP.","140 BELMONT DR.;","","SOMERSET","08873","NJ","USA","732-302-0800","732-302-0436","MARISA GALLAGHER","","MM"," "," ","AUTO",729,"EPDC","DLL"
"11358","BMI MANAGED SUPPORT SERVICE","51514 INDUSTRIAL DR.;","","NEW BALTIMORE","48047","MI","USA","586-716-4500","586-716-8031","","","PP"," "," ","AUTO",731,"EPDC","DLL"
"11359","CUB ELECTPARTS INC.","NO. 6; LANE 546 SEC 6","CHANG LU RD. FUHSIN HSIANG;","CHANG HUA CNTY","R.O.C.","TAIWAN","","886-4-7782010","886-4-7782009","LILY CHEN","","OO"," "," ","AUTO",732,"EPDC","DLL"
"11360","FASNAP CORP.","23669 REEDY DR.;","","ELKHART","46514","IN","USA","574-264-1185","574-264-0802","","","MM"," "," ","AUTO",733,"EPDC","DLL"
"11362","CAMCAR LLC","826 EAST MADISON ST.;","","BELVIDERE","61008","IL","USA","815-544-7575","815-544-7564","JENNIFER","JZITZKE@ACUMENT.COM  (P/N 308098)","HH"," "," ","AUTO",735,"EPDC","DLL"
"11363","HOOVER PRECISION","2200 PENDLEY RD.;","","CUMMING","30041","GA","USA","812-254-4387","812-254-1955","","SALES@HOOVERPRECISION.COM","MM"," "," ","AUTO",736,"EPDC","DLL"
"11364","LORENTSON COMPANY","P.O. 932","","KOKOMO","46903-09","IN","USA","765-452-4425","765-452-7940","MICHELLE BROOKS","MBROOKS@LORENTSON.COM","PP","Y","N","AUTO",737,"EPDC","DLL"
"11366","CENTRAL CAROLINA PRODUCTS INC.","250 W. OLD GLENCOE RD.;","","BURLINGTON","27217","NC","USA","336-395-2108","336-395-1040","","","II"," "," ","AERO",739,"EPDC","DLL"
"11367","M & M DIE CAST","P.O. BOX 751","","BRIDGMAN","49106","MI","USA","269-465-6206","269-465-6205","","","DD"," "," ","AUTO",740,"EPDC","DLL"
"11369","THERMSHIELD; LLC","36 COUNTRY CLUB RD.;","","GILFORD","03249","NH","USA","603-524-3714","603-524-6602","ED CIANCI","","PP"," "," ","AUTO",742,"EPDC","DLL"
"11370","UNITED FOAM A DIVISION OF UFP","2175 PARTIN SETTLEMENT RD.","","KISSIMMEE","34744","FL","USA","407-933-4880","407-933-5029","","","PP"," "," ","AUTO",743,"EPDC","DLL"
"11372","ELLIOTT TAPE","28-A WALTER JONES","","EL PASO","79906","TX","USA","915-781-0200","248-475-5893","MARTHA GONZALEZ (415","MJIMENEZ@EGITAPE.COM","TT"," "," ","AUTO",745,"EPDC","DLL"
"11373","TOWER AUTOMOTIVE","27175 HAGGERTY AVE.;","","NOVI","48277","MI","USA","248-675-6515","248-675-6631","","","PP"," "," ","AUTO",746,"EPDC","DLL"
"11374","IIG/DSS TECHNOLOGIES","6100 BETHUY","","FAIRHAVEN","48023","MI","USA","586-725-5300","586-725-5359","","","PP"," "," ","AUTO",747,"EPDC","DLL"
