ItemNumber,ItemDescription,ItemRevision,ItemStatus,ItemClass,SQE,RunLeadTimeDays,LotSizeMinimum,LotSizeMultiplier,Planner,Buyer,InventoryQty,ItemUM,ItemUnitCost,VendorItemNumber,VendorItemDescription,VendorID,VendorName,ShipToLocation,Currency,ItemKey,VendorKey,MBS,ItemAppvStatus,QtyofBlankets,FS_PONumber,VendorPriority,FS_POLnNumber,BKPOExpireDate,LineItemOrderedQuantity,ReceiptQuantity,POLineKey,BKPOStartDate
"73-0587-1","PAD TERMINAL",A ,A,43,JOA,45,0,0,DG1,DG1,9463,EA,,"73-0587-1","TERMINAL S/A H C .500",10944,"LEAR",EPDC,DLL,9143,654,B,,,,0,,,,,,
"73-0588-1","TAIL LINK",C ,A,43,JOA,45,0,0,DG1,DG1,4450,EA,,"73-0588-1","TAIL LINK",10944,"LEAR",EPDC,DLL,9144,654,B,,,,0,,,,,,
"73-0589-1","FEED TERMINAL",L ,A,43,JOA,40,9900,3300,DG1,DG1,10550,EA,,"73-0589-1","FEED TERMINAL",10944,"LEAR",EPDC,DLL,9145,654,B,,,,0,,,,,,
"73-0591-1","CONTACT",D ,A,43,JOA,30,9900,3300,DG1,DG1,7679,EA,,"73-0591-1","CONTACT",10944,"LEAR",EPDC,DLL,9147,654,B,,,,0,,,,,,
"73-5308-1","WIRE GRIP",E ,A,46,JOA,45,0,0,DG1,DG1,19078,EA,,"73-5308-1","WIRE GRIP",10944,"LEAR",EPDC,DLL,9159,654,B,,,,0,,,,,,
"73-5323-1","CONTACTOR",Q ,A,46,JOA,45,0,0,DG1,DG1,5235,EA,,"73-5323-1","CONTACTOR",10944,"LEAR",EPDC,DLL,9171,654,B,,,,0,,,,,,
"75-0384-1","CONTACT",E ,A,47,JOA,40,120000,10000,DG1,DG1,22934,EA,,"75-0384-1","CONTACT",10944,"LEAR",EPDC,DLL,9190,654,B,,,,0,,,,,,
"75-0598-1","WIRE TERMINAL",D ,A,43,JOA,45,20000,5000,DG1,DG1,8897,EA,,"75-0598-1","WIRE TERMINAL",10944,"LEAR",EPDC,DLL,9196,654,B,,,,0,,,,,,
"761616-B01","TERMINAL",* ,A,46,JOA,40,0,0,DG1,DG1,9216,EA,,"761616-B01","TERMINAL",10944,"LEAR",EPDC,DLL,9265,654,B,,,,0,,,,,,
"762016-K211-05A","TERMINAL W/REWIND",N ,A,43,JOA,45,9000,9000,DG1,DG1,1544,EA,,"762016-K211-05A","TERMINAL W/REWIND",10944,"LEAR",EPDC,DLL,9268,654,B,,,,0,,,,,,
"77-0333-1","TERMINAL A1",B ,A,48,?  ,0,0,0,PUR,PUR,8988,EA,,"77-0333-1","TERMINAL A1",10944,"LEAR",EPDC,DLL,50749,654,B,,,,0,,,,,,
"77-0373-1","TERMINAL A2",A ,A,48,?  ,0,0,0,PUR,PUR,9838,EA,,"77-0373-1","TERMINAL A2",10944,"LEAR",EPDC,DLL,50750,654,B,A,,,1,,,,,,
"77-0374-1","TERMINAL B",B ,A,48,?  ,0,0,0,PUR,PUR,11738,EA,,"77-0374-1","TERMINAL B",10944,"LEAR",EPDC,DLL,50751,654,B,,,,0,,,,,,
"77-0376-1","TERMINAL I1",A ,A,48,?  ,0,0,0,PUR,PUR,9838,EA,,"77-0376-1","TERMINAL I1",10944,"LEAR",EPDC,DLL,50753,654,B,A,,,1,,,,,,
"77-0377-1","TERMINAL S/P2",A ,A,48,?  ,0,0,0,PUR,PUR,14376,EA,,"77-0377-1","TERMINAL S/P2",10944,"LEAR",EPDC,DLL,50752,654,B,A,,,1,,,,,,
"77-0378-1","TERMINAL P1",B ,A,48,?  ,0,0,0,PUR,PUR,9838,EA,,"77-0378-1","TERMINAL P1",10944,"LEAR",EPDC,DLL,50754,654,B,A,,,1,,,,,,
"77-0379-1","TERMINAL I2",A ,A,48,?  ,0,0,0,PUR,PUR,9838,EA,,"77-0379-1","TERMINAL I2",10944,"LEAR",EPDC,DLL,50755,654,B,A,,,1,,,,,,
"771820-V01","TERMINAL",* ,A,46,JOA,40,2000,0,DG1,DG1,6382,EA,,"771820-V01","TERMINAL",10944,"LEAR",EPDC,DLL,42106,654,B,,,,0,,,,,,
"78-0314-1","CONTACTOR; S",N ,A,48,JOA,50,50000,0,DG1,DG1,40673,EA,,"78-0314-1","CONTACTOR; S",10944,"LEAR",EPDC,DLL,44615,654,B,,,,0,,,,,,
"78-0316-1","CONTACTOR; P",R ,A,48,JOA,50,46200,0,DG1,DG1,42874,EA,,"78-0316-1","CONTACTOR; P",10944,"LEAR",EPDC,DLL,44616,654,B,,,,0,,,,,,
"79-0532-1","LEAF SPRING",H ,A,43,JOA,40,9900,3300,DG1,DG1,5685,EA,,"79-0532-1","LEAF SPRING",10944,"LEAR",EPDC,DLL,9316,654,B,,,,0,,,,,,
"826034","TERMINAL 521618-BB02",B ,A,23,JOA,45,21000,21000,DG1,DG1,12808,EA,,"521618-BB02","TERMINAL",10944,"LEAR",EPDC,DLL,9641,654,B,,,,0,,,,,,
"826113","TERMINAL 381825-D01",F ,A,23,JOA,45,0,0,DG1,DG1,40426,EA,,"381825-D01","TERMINAL 381825-D01",10944,"LEAR",EPDC,DLL,9662,654,B,,,,0,,,,,,
"826176","*TERMINAL HSG D4AB-14A459-EA",B ,A,23,JOA,45,2800,0,DG1,DG1,6557,EA,,"826176","TERMINAL HSG D4AB-14A459-EA",10944,"LEAR",EPDC,DLL,9686,654,B,,,,0,,,,,,
"826178","*INSERT",A ,O,OB,*  ,45,25000,0,OBS,OBS,0,EA,,"826178","*INSERT",10944,"LEAR",EPDC,DLL,9687,654,B,,,,0,,,,,,
"83-0331-2","GROUND STRAP",D ,A,48,JOA,45,0,0,DG1,DG1,29837,EA,,"83-0331-2","GROUND STRAP",10944,"LEAR",EPDC,DLL,44621,654,B,,,,0,,,,,,
"86-0060-14","SPRING",H ,A,42,JA ,45,20000,20000,DG1,DG1,11454,EA,,"86-0060-14","SPRING",10944,"LEAR",EPDC,DLL,9855,654,B,,,,0,,,,,,
"86-0060-20","SPRING",E ,A,42,JA ,45,45000,15000,DG1,DG1,13238,EA,,"86-0060-20","SPRING",10944,"LEAR",EPDC,DLL,9857,654,B,,,,0,,,,,,
"86-0060-22","SPRING DETENT HAZARD",M ,A,42,JA ,45,10000,10000,DG1,DG1,11790,EA,,"86-0060-22","SPRING DETENT HAZARD",10944,"LEAR",EPDC,DLL,9859,654,B,,,,0,,,,,,
"86-8324-1","CONTACTOR-T/S-L",V ,A,42,JOA,45,50000,5000,DG1,DG1,38360,EA,,"86-8324-1","CONTACTOR-T/S-L",10944,"LEAR",EPDC,DLL,9869,654,B,,,,0,,,,,,
"86-8326-1","CONTACTOR-T/S-R",T ,A,42,JOA,45,50000,5000,DG1,DG1,49329,EA,,"86-8326-1","CONTACTOR",10944,"LEAR",EPDC,DLL,9870,654,B,,,,0,,,,,,
"86-8327-1","CONTACTOR CORNERING LAMPS",S ,A,42,JOA,45,16500,0,DG1,DG1,17369,EA,,"86-8327-1","CONTACTOR",10944,"LEAR",EPDC,DLL,9871,654,B,,,,0,,,,,,
"86-8347-2","CAM CANCEL",J ,A,42,JOA,35,2000,2000,AS ,AS ,7836,EA,,"86-8347-2","CAM CANCEL",10944,"LEAR",EPDC,DLL,9875,654,B,,,,0,,,,,,
"87-0519-1","I BUS BAR",M ,A,43,JOA,30,15000,5000,DG1,DG1,15739,EA,,"87-0519-1","I BUS BAR",10944,"LEAR",EPDC,DLL,9889,654,B,,,,0,,,,,,
"87-0521-1","IGN TERMINAL",N ,A,43,JOA,30,15000,5000,DG1,DG1,18212,EA,,"87-0521-1","IGN TERMINAL",10944,"LEAR",EPDC,DLL,9890,654,B,,,,0,,,,,,
"87-0522-1","TERMINAL",M ,A,43,JOA,35,30000,10000,DG1,DG1,21559,EA,,"87-0522-1","TERMINAL",10944,"LEAR",EPDC,DLL,9891,654,B,,,,0,,,,,,
"87-0523-1","TERMINAL",M ,A,43,JOA,30,15000,5000,DG1,DG1,15599,EA,,"87-0523-1","TERMINAL",10944,"LEAR",EPDC,DLL,9892,654,B,,,,0,,,,,,
"87-0524-1","DN TERMINAL",L ,A,43,JOA,30,7500,2500,DG1,DG1,6443,EA,,"87-0524-1","DN TERMINAL",10944,"LEAR",EPDC,DLL,9893,654,B,,,,0,,,,,,
"87-0588-1","TAIL LINK",E ,A,43,JOA,30,7500,2500,DG1,DG1,4778,EA,,"87-0588-1","TAIL LINK",10944,"LEAR",EPDC,DLL,9903,654,B,,,,0,,,,,,
"87-8321-1","CONTACTOR F/F",P ,A,42,JOA,45,50000,5000,DG1,DG1,14754,EA,,"87-8321-1","CONTACTOR F/F",10944,"LEAR",EPDC,DLL,9919,654,B,,,,0,,,,,,
"87-8371-1","CONTACTOR B/F",T ,A,42,JOA,45,50000,5000,DG1,DG1,42214,EA,,"87-8371-1","CONTACTOR",10944,"LEAR",EPDC,DLL,9920,654,B,,,,0,,,,,,
"888634","E3TB-14A459-AA TERMINAL HSG.",D ,O,OB,*  ,45,3700,3700,OBS,OBS,0,EA,,"888634","TERMINAL HOUSING E3TB-14A459-A",10944,"LEAR",EPDC,DLL,9962,654,B,,,,0,,,,,,
"894034","*TERMINAL B-8605(372030-AW01)",A ,O,OB,*  ,45,0,0,OBS,OBS,0,EA,,"B8605","",10944,"LEAR",EPDC,DLL,10049,654,B,,,,0,,,,,,
"895101","TERMINAL LEAR 371830-EC01",00,A,28,JOA,35,5000,5000,DG1,DG1,0,EA,,"895101","TERMINAL LEAR 371830-EC01",10944,"LEAR",EPDC,DLL,10107,654,B,,,,0,,,,,,
"90-0001-1","WIRE ASSEMBLY",N ,O,OB,*  ,45,1000,0,OBS,OBS,0,EA,,"90-0001-1","WIRE ASSEMBLY-RED",10944,"LEAR",EPDC,DLL,10118,654,B,,,,0,,,,,,
"90-0001-2","WIRE ASSEMBLY",N ,O,OB,*  ,45,1500,0,OBS,OBS,0,EA,,"90-0001-2","WIRE ASSEMBLY-WHITE",10944,"LEAR",EPDC,DLL,10119,654,B,,,,0,,,,,,
"90-0001-3","WIRE ASSEMBLY",N ,O,OB,*  ,45,1500,0,OBS,OBS,0,EA,,"90-0001-3","WIRE ASSEMBLY-BLUE",10944,"LEAR",EPDC,DLL,10120,654,B,,,,0,,,,,,
"90-0060-10","SPRING H/W CONTACTOR",B ,A,42,JOA,45,10000,10000,DG1,DG1,9766,EA,,"90-0060-10","SPRING H/W CONTACTOR",10944,"LEAR",EPDC,DLL,10122,654,B,,,,0,,,,,,
"90-0327-1","CONTACTOR",M ,A,47,JOA,45,30000,0,DG1,DG1,6618,EA,,"90-0327-1","CONTACTOR",10944,"LEAR",EPDC,DLL,10137,654,B,,,,0,,,,,,
"90-8302-2","BODY-ELECTRIC",AR,A,42,JOA,35,1000,1000,AS ,AS ,9285,EA,,"90-8302-2","BODY-ELECTRIC",10944,"LEAR",EPDC,DLL,10158,654,B,,,,0,,,,,,
"90-8316-1","CARRIER BEAM SELECTOR",P ,A,42,JOA,35,3500,3500,AS ,AS ,5691,EA,,"90-8316-1","CARRIER BEAM SELECTOR",10944,"LEAR",EPDC,DLL,10160,654,B,,,,0,,,,,,
"90-8319-2","CARRIER; HAZARD WARNING",DE,A,42,JOA,45,1600,1600,AS ,AS ,6307,EA,,"90-8319-2","CARRIER; HAZARD WARNING",10944,"LEAR",EPDC,DLL,10164,654,B,,,,0,,,,,,
"90-8321-2","CONTACTOR; H/W",N ,A,42,JOA,45,50000,50000,DG1,DG1,40359,EA,,"90-8321-2","CONTACTOR; H/W",10944,"LEAR",EPDC,DLL,10165,654,B,,,,0,,,,,,
"90-8339-1","SLEEVE; CHROME",J ,A,42,OC ,60,0,0,DG1,DG1,421,EA,,"90-8339-1","SLEEVE; CHROME",10944,"LEAR",EPDC,DLL,10167,654,S,,,,0,,,,,,
"90-8371-1","CONTACTOR W/H  B/F",P ,A,42,JOA,40,19800,3300,DG1,DG1,9848,EA,,"90-8371-1","CONTACTOR",10944,"LEAR",EPDC,DLL,10175,654,B,,,,0,,,,,,
"90-8388-1","PLUNGER;BRASS",C ,A,42,JOA,120,100000,50000,AS ,AS ,14387,EA,,"90-8388-1","PLUNGER;BRASS",10944,"LEAR",EPDC,DLL,10187,654,B,,,,0,,,,,,
"91-8386-2","CIRCUIT BOARD",J ,O,OB,*  ,10,0,0,OBS,OBS,0,EA,,"91-8386-2","PRINTED CIRCUIT BOARD",10944,"LEAR",EPDC,DLL,10232,654,B,,,,0,,,,,,
"92-7518-1","HOUSING",F ,A,43,JOA,30,1000,1000,DG1,DG1,1100,EA,,"92-7518-1","HOUSING",10944,"LEAR",EPDC,DLL,10256,654,B,,,,0,,,,,,
"93-3844-2","ROTARY CONTACTOR",* ,O,OB,*  ,60,0,0,OBS,OBS,0,EA,,"93-3844-2","ROTARY CONTACTOR",10944,"LEAR",EPDC,DLL,44566,654,B,,,,0,,,,,,
"933438","*EYELET TERMINAL (101609-NRO1)",H ,A,35,JOA,45,30000,30000,DG1,DG1,38394.84,EA,,"101609-NR01","",10944,"LEAR",EPDC,DLL,10563,654,B,,,,0,,,,,,
"94-0060-16","SPRING",G ,A,41,JOA,30,600,0,DG1,DG1,20236,EA,,"94-0060-16","SPRING",10944,"LEAR",EPDC,DLL,10982,654,B,,,,0,,,,,,
"94-0060-30","SPRING",C ,A,41,JOA,30,10000,0,DG1,DG1,12453,EA,,"94-0060-30","COMPRESSION SPRING",10944,"LEAR",EPDC,DLL,10988,654,B,,,,0,,,,,,
"94-0060-34","SPRING",C ,A,41,JOA,30,5000,0,DG1,DG1,16903,EA,,"94-0060-34","SPRING CONTACTOR BEAM",10944,"LEAR",EPDC,DLL,10990,654,B,,,,0,,,,,,
"94-8504-1","BUSS BAR",M ,A,41,JOA,45,5000,0,DG1,DG1,7560,EA,,"94-8504-1","BUSS BAR",10944,"LEAR",EPDC,DLL,11111,654,B,,,,0,,,,,,
"94-8511-2","CONTACTOR BEAM SELECTOR",A ,A,41,JOA,30,20000,5000,DG1,DG1,10066,EA,,"94-8511-2","CONTACTOR BEAM SELECTOR",10944,"LEAR",EPDC,DLL,11118,654,B,,,,0,,,,,,
"94-8514-1","CONTACTOR TURN SIGNAL",H ,A,41,JOA,45,3000,3000,DG1,DG1,14418,EA,,"94-8514-1","CONTACTOR",10944,"LEAR",EPDC,DLL,11120,654,B,,,,0,,,,,,
"94-8537-1","CONTACTOR-042 H B",L ,A,41,JOA,45,0,0,DG1,DG1,17666,EA,,"94-8537-1","CONTACTOR-042 H B",10944,"LEAR",EPDC,DLL,11132,654,B,,,,0,,,,,,
"94-8538-1","CONTACTOR BUSS BAR",J ,A,41,JOA,45,0,0,DG1,DG1,8724,EA,,"94-8538-1","CONTACTOR-042 H B",10944,"LEAR",EPDC,DLL,11133,654,B,,,,0,,,,,,
"94-8539-1","CONTACTOR BRAKE AND FLASHER",L ,A,45,JOA,45,0,0,DG1,DG1,2230,EA,,"94-8539-1","CONTACTOR",10944,"LEAR",EPDC,DLL,11134,654,B,,,,0,,,,,,
"94-8542-1","FINGER DETENT HAZARD",B ,A,41,JOA,45,0,0,DG1,DG1,0,EA,,"94-8542-1","FINGER DETENT HAZARD",10944,"LEAR",EPDC,DLL,11135,654,B,,,,0,,,,,,
"94-8543-1","COVER",Y ,A,45,JOA,45,0,0,AS ,AS ,229,EA,,"94-8543-1","COVER BLACK",10944,"LEAR",EPDC,DLL,11136,654,B,,,,0,,,,,,
"95-1696-1","CONTACTOR",C ,A,43,JOA,60,10000,2000,DG1,DG1,4502,EA,,"95-1696-1","CONTACTOR",10944,"LEAR",EPDC,DLL,11236,654,B,,,,0,,,,,,
"95-7581-1","CONTACTOR",L ,A,43,JOA,60,50000,5000,DG1,DG1,16660,EA,,"95-7581-1","CONTACTOR",10944,"LEAR",EPDC,DLL,11272,654,B,,,,0,,,,,,
"95-7597-2","CASE",G ,A,43,JOA,25,2000,2000,AS ,AS ,1185,EA,,"95-7597-2","CASE",10944,"LEAR",EPDC,DLL,11277,654,B,,,,0,,,,,,
"96-1696-1","CONTACTOR",B ,A,46,JOA,30,8000,2000,DG1,DG1,377,EA,,"96-1696-1","CONTACTOR",10944,"LEAR",EPDC,DLL,11369,654,B,,,,0,,,,,,
"97-0060-20","SPRING",D ,A,41,JOA,45,15000,0,DG1,DG1,10996,EA,,"97-0060-20","SPRING",10944,"LEAR",EPDC,DLL,11401,654,B,,,,0,,,,,,
"97-0967-1","CIRCUIT PLATE (INSERT MOLDED)",J ,A,45,SN ,45,1000,1000,AS ,AS ,122.000000000001,EA,,"97-0967-1","CIRCUIT PLATE (INSERT MOLDED)",10944,"LEAR",EPDC,DLL,11442,654,S,,,,0,,,,,,
"97-0967-1S","CIRCUIT PLATE",J ,A,45,JOA,40,9600,400,DG1,DG1,7234,EA,,"97-0967-1S","CIRCUIT PLATE",10944,"LEAR",EPDC,DLL,43850,654,B,,,,0,,,,,,
"97-8386-2","PRINTED CIRCUIT BOARD",G ,A,41,JOA,45,0,0,DG1,DG1,70,EA,,"97-8386-2","PRINTED CIRCUIT BOARD",10944,"LEAR",EPDC,DLL,11554,654,B,,,,0,,,,,,
"97-8387-1","HEADER 2-WAY",D ,A,41,JOA,30,0,0,DG1,DG1,0,EA,,"97-8387-1","HEADER 2-WAY",10944,"LEAR",EPDC,DLL,11555,654,B,,,,0,,,,,,
"97-8539-1","CONTACTOR BRAKE AND FLASHER",F ,A,45,JOA,45,0,0,DG1,DG1,675,EA,,"97-8539-1","CONTACTOR-042 H C .500",10944,"LEAR",EPDC,DLL,11570,654,B,,,,0,,,,,,
"98-0612-1","CIRCUIT PLATE",H ,A,44,JOA,45,250,250,AS ,AS ,496,EA,,"98-0612-1","CIRCUIT PLATE",10944,"LEAR",EPDC,DLL,11587,654,S,,,,0,,,,,,
"98-0612-1H","PLATE INSERT",H ,A,44,JOA,50,4000,1000,DG1,DG1,1191,EA,,"98-0612-1H","PLATE INSERT",10944,"LEAR",EPDC,DLL,44013,654,B,,,,0,,,,,,
"98-0616-1","YOKE/TERMINAL-CENTER",D ,A,44,JOA,45,60000,0,DG1,DG1,32877,EA,,"98-0616-1","YOKE/TERMINAL-CENTER",10944,"LEAR",EPDC,DLL,11589,654,B,,,,0,,,,,,
"98-0617-1","YOKE/TERMINAL-LEFT",C ,A,44,JOA,45,30000,0,DG1,DG1,28776,EA,,"98-0617-1","YOKE/TERMINAL-LEFT",10944,"LEAR",EPDC,DLL,11590,654,B,,,,0,,,,,,
"98-0618-1","YOKE/TERMINAL-RIGHT",D ,A,44,JOA,45,30000,30000,DG1,DG1,11523,EA,,"98-0618-1","YOKE/TERMINAL-RIGHT",10944,"LEAR",EPDC,DLL,11591,654,B,,,,0,,,,,,
"98-0621-1","COVER;BUTTOM",M ,A,44,JOA,45,360,360,AS ,AS ,945,EA,,"98-0621-1","COVER;BUTTOM",10944,"LEAR",EPDC,DLL,11592,654,B,,,,0,,,,,,
"99-8357-1","CONTACT RING",F ,A,41,   ,30,12000,4000,DG1,DG1,3845,EA,,"99-8357-1","CONTACT RING",10944,"LEAR",EPDC,DLL,11812,654,B,,,,0,,,,,,
"E7EB-14474-CA","TERMINAL SNAP ONFEMALE(361816-SF02)",B ,A,48,JOA,50,0,0,DG1,DG1,2058,EA,,"E7EB-14474-CA","TERMINAL SNAP ON-FEMALE",10944,"LEAR",EPDC,DLL,40869,654,B,,,,0,,,,,,
"300-130-1","CONECTOR 3 WAY",C ,A,42,JOA,35,2000,2000,AS ,AS ,4127,EA,,"300-130-1","CONNECTOR",10945,"LEAR CORPORATION",EPDC,DLL,4460,655,B,,,,0,,,,,,
"86-8347-2","CAM CANCEL",J ,A,42,JOA,35,2000,2000,AS ,AS ,7836,EA,,"86-8347-2","CAM CANCEL",10945,"LEAR CORPORATION",EPDC,DLL,9875,655,B,,,,0,,,,,,
"90-8302-1","BODY NON-ELECTRIC",AN,A,42,RF ,35,4800,1200,AS ,AS ,3113,EA,,"90-8302-1","BODY NON-ELECTRIC",10945,"LEAR CORPORATION",EPDC,DLL,10157,655,B,,,,0,,,,,,
"90-8302-2","BODY-ELECTRIC",AR,A,42,JOA,35,1000,1000,AS ,AS ,9285,EA,,"90-8302-2","BODY-ELECTRIC",10945,"LEAR CORPORATION",EPDC,DLL,10158,655,B,,,,0,,,,,,
"90-8316-1","CARRIER BEAM SELECTOR",P ,A,42,JOA,35,3500,3500,AS ,AS ,5691,EA,,"90-8316-1","CARRIER BEAM SELECTOR",10945,"LEAR CORPORATION",EPDC,DLL,10160,655,B,,,,0,,,,,,
"90-8351-1","HOUSING",AH,A,42,RF ,35,1000,1000,AS ,AS ,6562,EA,,"90-8351-1","HOUSING",10945,"LEAR CORPORATION",EPDC,DLL,10174,655,B,,,,0,,,,,,
"91-8333-1","ACTUATOR",W ,A,42,RF ,35,1000,1000,AS ,AS ,9506,EA,,"91-8333-1","ACTUATOR",10945,"LEAR CORPORATION",EPDC,DLL,10222,655,B,,,,0,,,,,,
"92-8302-1","BODY",G ,A,41,   ,45,1500,1500,AS ,AS ,1392,EA,,"92-8302-1","BODY",10945,"LEAR CORPORATION",EPDC,DLL,10280,655,B,,,,0,,,,,,
"94-8511-2","CONTACTOR BEAM SELECTOR",A ,A,41,JOA,30,20000,5000,DG1,DG1,10066,EA,,"94-8511-2","CONTACTOR",10945,"LEAR CORPORATION",EPDC,DLL,11118,655,B,,,,0,,,,,,
"95-7597-2","CASE",G ,A,43,JOA,25,2000,2000,AS ,AS ,1185,EA,,"95-7597-2","CASE",10945,"LEAR CORPORATION",EPDC,DLL,11277,655,B,,,,0,,,,,,
"97-0937-1","CENTER ACTUATOR",H ,A,45,   ,45,0,0,AS ,AS ,178,EA,,"97-0937-1","CENTER ACTUATOR",10945,"LEAR CORPORATION",EPDC,DLL,11427,655,B,,,,0,,,,,,
"97-0946-1","ACTUATOR PLATE",N ,A,45,   ,45,1000,1000,AS ,AS ,2078,EA,,"97-0946-1","ACTUATOR PLATE",10945,"LEAR CORPORATION",EPDC,DLL,11432,655,B,,,,0,,,,,,
"97-0946-2","ACTUATOR PLATE",N ,A,45,   ,35,0,0,AS ,AS ,2141,EA,,"97-0946-2","ACTUATOR PLATE",10945,"LEAR CORPORATION",EPDC,DLL,11433,655,B,,,,0,,,,,,
"97-0946-3","ACTUATOR PLATE",L ,A,45,   ,30,0,0,AS ,AS ,269,EA,,"97-0946-3","ACTUATOR PLATE",10945,"LEAR CORPORATION",EPDC,DLL,11434,655,B,,,,0,,,,,,
"97-0991-2","BACK COVER",D ,A,45,   ,45,0,0,AS ,AS ,767,EA,,"97-0991-2","BACK COVER",10945,"LEAR CORPORATION",EPDC,DLL,11466,655,B,,,,0,,,,,,
"97-7691-1","BASE (INSERT MOLDED)",G ,A,44,SN ,45,6000,0,AS ,AS ,6562,EA,,"97-7691-1","BASE (INSERT MOLDED)",10945,"LEAR CORPORATION",EPDC,DLL,11481,655,S,,,,0,,,,,,
"97-8202-1","BUTTON-TILT",F ,A,41,   ,25,0,0,AS ,AS ,749,EA,,"97-8202-1","BUTTON-TILT",10945,"LEAR CORPORATION",EPDC,DLL,11483,655,B,,,,0,,,,,,
"97-8256-1","ACTUATOR",V ,A,41,   ,45,0,0,AS ,AS ,0,EA,,"97-8256-1","INSULATOR",10945,"LEAR CORPORATION",EPDC,DLL,11517,655,B,,,,0,,,,,,
"97-8322-1","BODY NONELECTRIC",L ,A,41,RF ,35,500,500,AS ,AS ,363,EA,,"97-8322-1","BODY NONELECTRIC",10945,"LEAR CORPORATION",EPDC,DLL,11542,655,B,,,,0,,,,,,
"99-8302-1","BODY",G ,A,41,   ,45,200,0,AS ,AS ,3466,EA,,"99-8302-1","BODY",10945,"LEAR CORPORATION",EPDC,DLL,11763,655,B,,,,0,,,,,,
"99-8316-1","CARRIER BEAM SELECTOR",D ,A,41,SN ,45,0,0,AS ,AS ,1705,EA,,"99-8316-1","CARRIER BEAM SELECTOR",10945,"LEAR CORPORATION",EPDC,DLL,11774,655,B,,,,0,,,,,,
"E8EB-14A459-CA","CONNECTOR 12 WAY",* ,A,45,   ,45,0,0,AS ,AS ,1751,EA,,"E8EB-14A459-CA","CONNECTOR 12 WAY",10945,"LEAR CORPORATION",EPDC,DLL,11963,655,B,,,,0,,,,,,
"933446","*PIVOT PIN",B ,A,35,   ,45,10000,10000,DG1,DG1,10137,EA,,"933446","*PIVOT PIN",10952,"UNIVERSAL BEARINGS; INC.",EPDC,DLL,10575,656,B,,,,0,,,,,,
"933522","*PIN; PIVOT (92-4236-1 U.T.)",01,A,35,   ,45,0,0,DG1,DG1,10689,EA,,"933522","*PIN; PIVOT (92-4236-1 U.T.)",10952,"UNIVERSAL BEARINGS; INC.",EPDC,DLL,10635,656,B,,,,0,,,,,,
"94-8367-1","PIN PIVOT",F ,A,42,   ,45,5000,5000,DG1,DG1,26526,EA,,"94-8367-1","PIN PIVOT",10952,"UNIVERSAL BEARINGS; INC.",EPDC,DLL,11102,656,B,,,,0,,,,,,
"152-965","7185 BLUE\WHITE ID.TAPE",AH,A,35,   ,20,180,180,MRO,MRO,0,FT,,"152-965","7185 BLUE\WHITE ID.TAPE 001",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1436,659,B,,,,0,,,,,,
"152-966","3077 ORNGE/BLACK ID.TAPE",AH,A,35,   ,20,180,180,MRO,MRO,0,FT,,"152-966","3077 ORNGE/BLACK ID.TAPE 002",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1437,659,B,,,,0,,,,,,
"152-971","2292 RED\BLACK ID.TAPE",AH,A,35,   ,20,180,180,TC ,TC ,0,FT,,"152-971","2292 RED\BLACK ID.TAPE 001",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1441,659,B,,,,0,,,,,,
"152-985","2110 ORANGE\SILVER ID.TAPE",AH,O,OB,*  ,45,0,0,OBS,OBS,0,FT,,"152-985","2110 ORANGE\SILVER ID.TAPE 001",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1447,659,B,,,,0,,,,,,
"152-992","5513 GREY\RED ID.TAPE",AH,O,OB,*  ,45,0,0,OBS,OBS,0,FT,,"152-992","5513 GREY/RED 002; PAPER TAPE",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1452,659,B,,,,0,,,,,,
"152-998","F5AB-14A501-AB /YELLOW I.D. TAPE",AB,O,OB,*  ,20,180,180,OBS,OBS,0,FT,,"152-998","F5AB-14A501-AB /YELLOW I.D. TA",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1455,659,B,,,,0,,,,,,
"201018","ID TAPE BLK INK ON WHITE 98430.03D",H ,A,65,   ,60,1080,1080,GAV,GAV,3245,FT,,"201018","",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1787,659,B,,,,0,,,,,,
"201036","I.D TAPE LT BLUE/BLACK 29454  01A",H ,A,65,   ,10,0,0,GAV,GAV,1619.8,FT,,"201036","I.D TAPE LT BLUE/BLACK",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1803,659,B,,,,0,,,,,,
"201041","ID TAPE RED 09365.01F",H ,A,65,   ,10,0,0,GAV,GAV,1524,FT,,"201041","ID TAPE RED 09365.01F",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1805,659,B,,,,0,,,,,,
"201054","ID TAPE (CHART)",H ,O,OB,*  ,60,0,0,OBS,OBS,480,FT,,"201054","ID TAPE YELLOW 94840.04C",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1812,659,B,,,,0,,,,,,
"201057","I.D. LABEL",A ,A,65,   ,10,0,0,DG1,DG1,0,EA,,"201057","I.D. LABEL",10965,"VICKERY TAPE & LABEL CO.",EPDC,DLL,1815,659,B,,,,0,,,,,,
